id,name,url,category,link_type,submit_method,status,result_url,timestamp,notes
26,Tesla Model 3 Highland vs Refresh vs Original: Which Generation Wins?,https://telegra.ph/,telegraph,dofollow,auto_telegraph,skipped,,2026-03-08T20:51:48.193839,已完成，跳过
27,"Best Tesla for Every Lifestyle: Commuters, Families, Road Trippers, and Speed Enthusiasts",https://telegra.ph/,telegraph,dofollow,auto_telegraph,success,https://telegra.ph/Best-Tesla-for-Every-Lifestyle-Commuters-Families-Road-Trippers-and-Speed-Enthusiasts-03-09,2026-03-08T20:51:52.025600,https://telegra.ph/Best-Tesla-for-Every-Lifestyle-Commuters-Families-Road-Trippers-and-Speed-Enthusiasts-03-09
28,Tesla Model 3 Highland vs Model Y Juniper: The 2025 Buyer's Dilemma,https://telegra.ph/,telegraph,dofollow,auto_telegraph,success,https://telegra.ph/Tesla-Model-3-Highland-vs-Model-Y-Juniper-The-2025-Buyers-Dilemma-03-09,2026-03-08T20:51:55.698761,https://telegra.ph/Tesla-Model-3-Highland-vs-Model-Y-Juniper-The-2025-Buyers-Dilemma-03-09
29,Cybertruck by the Numbers: Every Spec You Need to Know,https://telegra.ph/,telegraph,dofollow,auto_telegraph,success,https://telegra.ph/Cybertruck-by-the-Numbers-Every-Spec-You-Need-to-Know-03-09,2026-03-08T20:51:58.950824,https://telegra.ph/Cybertruck-by-the-Numbers-Every-Spec-You-Need-to-Know-03-09
30,Tesla Range Compared: Which Model Goes the Farthest on a Single Charge?,https://telegra.ph/,telegraph,dofollow,auto_telegraph,success,https://telegra.ph/Tesla-Range-Compared-Which-Model-Goes-the-Farthest-on-a-Single-Charge-03-09,2026-03-08T20:52:01.840286,https://telegra.ph/Tesla-Range-Compared-Which-Model-Goes-the-Farthest-on-a-Single-Charge-03-09
1,syncedreview.com,https://syncedreview.com/2024/09/09/microsofts-fully-pipelined-distributed-transformer-processes-16x-sequence-length-with-extreme-hardware-efficiency/,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T20:52:08.707226,重定向到: https://syncedreview.com/2024/09/09/microsofts-fully-pipelined-distributed-transformer-processes-16x-sequence-length-with-extreme-hardware-efficiency/comment-page-4/#comment-496472
2,pixel77.com,https://pixel77.com/typography-rules-technique/,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T20:52:13.797552,重定向到: https://pixel77.com/typography-rules-technique/#comment-235303
3,greenerideal.com,https://greenerideal.com/wellness/disconnect-to-reconnect-connecting-with-nature-in-the-digital-age,blog_comment,dofollow,auto_comment,failed,,2026-03-08T20:52:20.146763,找不到 comment_post_ID
4,blogs.ucl.ac.uk,https://blogs.ucl.ac.uk/brits/2014/06/01/sales-growth-curves/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:00.865254,HTTP 500
5,digitalwellbeing.org,https://digitalwellbeing.org/five-reasons-why-chatgpt-is-the-future-of-digital-mental-health-support/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:09.107294,重复评论
6,pv-magazine.com,https://www.pv-magazine.com/2022/01/15/the-weekend-read/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:12.444344,重复评论
7,premierchess.com,https://premierchess.com/uncategorized/is-chess-a-sport-an-introduction-of-chess-in-and-within-the-sports-world,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:19.146289,HTTP 403
8,proofreadanywhere.com,https://proofreadanywhere.com/get-paid-to-proofread/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:21.345074,找不到评论表单
9,ride.guru,https://ride.guru/content/newsroom/finding-your-fare-with-rideguru-a-how-to-guide,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:26.178431,找不到 comment_post_ID
10,notsowimpyteacher.com,https://notsowimpyteacher.com/2024/01/5-reasons-why-teaching-grammar-is-still-important.html,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:31.665631,重复评论
11,reneeroaming.com,https://www.reneeroaming.com/new-england-fall-road-trip,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:34.324974,重复评论
12,pinkcaddytravelogue.com,https://www.pinkcaddytravelogue.com/7-day-iceland-itinerary/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:36.030276,找不到评论表单
13,blogs.uww.edu,https://blogs.uww.edu/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:38.384501,找不到评论表单
14,advicefromatwentysomething.com,https://advicefromatwentysomething.com/3-simple-ways-to-reconnect-with-your-creativity/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:40.974264,异常: 404 Client Error: Not Found for url: https://advicefromatwentysomething.com/3-simple-ways-to-reconnect-with-your-creativity/
15,everythingetsy.com,https://www.everythingetsy.com/2013/02/10-social-media-tips-to-make-you-a-rock-star/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:42.939766,重复评论
16,blogs.deusto.es,https://blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:47.406192,HTTP 409
17,visitrichmond.co.uk,https://www.visitrichmond.co.uk/blog/read/2024/03/english-tourism-week-2024-gardens-and-parks-b48,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:50.364639,找不到 comment_post_ID
18,brownbagteacher.com,https://brownbagteacher.com/what-im-reading/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:52.982760,HTTP 403
19,pixel77.com,https://pixel77.com/fonts-for-posters/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:03:56.666895,重复评论
20,capturebilling.com,https://capturebilling.com/new-quality-aca-reporting-standards/,blog_comment,dofollow,auto_comment,success,,2026-03-08T21:03:59.695414,重定向到: https://capturebilling.com/new-quality-aca-reporting-standards/
21,blog.bmtmicro.com,https://blog.bmtmicro.com/4449-2/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:02.128476,重复评论
22,squatuniversity.com,https://squatuniversity.com/2015/12/01/the-squat-fix-hip-mobility-pt-1/comment-page-2/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:04.537307,找不到 comment_post_ID
23,cartoonresearch.com,https://cartoonresearch.com/index.php/forgotten-anime-57-kirara-2000,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:06.619852,找不到评论表单
24,everythingboardgames.com,https://everythingboardgames.com/2024/11/exploring-the-world-of-online-board-games.html,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:09.228410,找不到评论表单
25,anspblog.org,https://www.anspblog.org/fin-to-limb-to-art/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:11.589914,异常: 404 Client Error: Not Found for url: https://www.anspblog.org/fin-to-limb-to-art/
31,joaniesimon.com,https://joaniesimon.com/grilled-lemon-garlic-potato-kabobs/grilled-potato-kabobs-with-lemon-and-garlic/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:13.784766,找不到 comment_post_ID
32,beautythroughimperfection.com,https://www.beautythroughimperfection.com/reindeer-donuts/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:16.736806,重复评论
33,browneyedbaker.com,https://www.browneyedbaker.com/how-to-make-pate-a-choux-fill-eclairs-and-cream-puffs/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:19.655316,重复评论
34,completelydelicious.com,https://www.completelydelicious.com/tips/make-brownies-shiny-crackly-crust/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:23.055307,重复评论
35,happyhealthymama.com,https://happyhealthymama.com/air-fryer-apples-healthy.html,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:26.702206,重复评论
36,bakerella.com,https://www.bakerella.com/sweets-for-the-season/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:29.938066,重复评论
37,holdtoreset.com,https://holdtoreset.com/where-is-the-shipwreck-today-in-gta-online/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:32.177284,重复评论
38,learnalanguage.com,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian/,blog_comment,nofollow,auto_comment,pending_moderation,,2026-03-08T21:04:35.611767,重定向到: https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian/#comment-496326
39,stylishpetite.com,https://stylishpetite.com/2023/07/high-tea-at-langham-hotel-pasadena.html,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:37.706628,HTTP 403
40,lilistravelplans.com,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:03.025547,找不到评论表单
41,dinnerwithjulie.com,https://www.dinnerwithjulie.com/2017/12/05/nigels-fruitcake/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:05.607557,找不到评论表单
42,diythrill.com,https://diythrill.com/2018/09/23/orange-citrus-poo-pourri-recipe/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:07.603170,重复评论
43,sharonsantoni.com,https://sharonsantoni.com/2023/05/making-strawberry-jam-2/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:09.458472,找不到 comment_post_ID
44,wonderfulmalaysia.com,https://www.wonderfulmalaysia.com/tips/sport-activities-on-a-vacation-in-malaysia.htm,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:14.757138,重复评论
45,chayagrossberg.com,https://chayagrossberg.com/diagnosis-versus-you/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:19.897934,重复评论
46,onesweetmess.com,https://www.onesweetmess.com/2017/06/08/cherry-negroni,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:23.984212,重复评论
47,yourcupofcake.com,https://www.yourcupofcake.com/banana-bread-coffee-cake/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:27.095989,重复评论
48,lovestrategies.com,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:29.126155,找不到评论表单
49,craftberrybush.com,https://www.craftberrybush.com/2025/01/heart-shaped-flower-arrangement-for-valentines-day.html,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:31.468906,重复评论
50,repeatcrafterme.com,https://www.repeatcrafterme.com/2025/02/crochet-furry-friends-book.html,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:34.325121,重复评论
51,paleorunningmomma.com,https://www.paleorunningmomma.com/garlic-tuscan-shrimp-paleo-whole30,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:36.524069,重复评论
52,fitlivingeats.com,https://www.fitlivingeats.com/a-festive-holiday-sangria-recipe-tips-for-a-healthier-cocktail/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:38.303387,找不到评论表单
53,reneeroaming.com,https://www.reneeroaming.com/mexico-city-itinerary-the-best-things-to-do-in-4-days,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:40.970168,重复评论
54,blankitinerary.com,https://blankitinerary.com/santana-fall.html,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:43.747183,重复评论
55,bevcooks.com,https://bevcooks.com/2019/06/creamy-chicken-and-asparagus-casserole/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:47.619909,重复评论
56,certifiedpastryaficionado.com,https://www.certifiedpastryaficionado.com/nutella-cream-pie/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:50.701586,重复评论
57,mangoandsalt.com,https://www.mangoandsalt.com/2024/07/11/collection-de-chaussures-barefoot-avis-conseils-2/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:54.245632,HTTP 409
58,exsloth.com,https://exsloth.com/vegan-breakfast-cookies/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:57.659007,重复评论
59,fashionablefoods.com,https://fashionablefoods.com/2014/10/20/roasted-butternut-squash-and-apple-soup/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:00.808942,重复评论
60,cantstayoutofthekitchen.com,https://cantstayoutofthekitchen.com/2022/01/06/blueberry-walnut-overnight-oatmeal/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:03.874343,重复评论
61,madrimasd.org,https://www.madrimasd.org/blogs/matematicas/2024/02/11/150483,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:06.794473,HTTP 409
62,blogg.ng.se,https://blogg.ng.se/michael-gill/2016/01/jag-och-dottern-oppnar-star-wars-lador,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:11.351930,HTTP 500
63,feettothefire.blogs.wesleyan.edu,https://feettothefire.blogs.wesleyan.edu/2009/02/26/main-street-marketplace/comment-page-2/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:13.674940,重复评论
64,soccernet.ng,https://soccernet.ng/2024/03/were-looking-forward-to-it-atalantas-lookman-pumped-ahead-of-nigerias-jollof-derby-against-ghana.html,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:15.838700,HTTP 403
65,mummyfever.co.uk,https://mummyfever.co.uk/the-best-youtube-home-workouts/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:21.303763,重复评论
66,godchild.keenspot.com,http://godchild.keenspot.com/comic/chapter-3-page-05/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:24.936031,重复评论
67,blogg.ng.se,https://blogg.ng.se/paparazzibloggen/2021/03/exklusiv-forhandslyssning-av-david-bowies-dotters-nya-musik,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:04:57.078381,请求超时 (30s)
68,programas.cooperativa.cl,http://programas.cooperativa.cl/enaccion/2010/09/10/los-reportes-de-sustentabilidad/,blog_comment,dofollow,auto_comment,success,,2026-03-08T21:05:01.590458,重定向到: http://programas.cooperativa.cl/enaccion/2010/09/10/los-reportes-de-sustentabilidad/
69,sites.williams.edu,https://sites.williams.edu/srd4/methods-exercises/methods-exercise-6/,blog_comment,dofollow,auto_comment,failed,,2026-03-08T21:05:04.111646,异常: 403 Client Error: Forbidden for url: https://sites.williams.edu/srd4/methods-exercises/methods-exercise-6/
70,blog.myesr.org,https://blog.myesr.org/espanol/los-casos-de-dr-pepe-caso-de-torax-12/,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T21:05:07.297172,重定向到: https://blog.myesr.org/espanol/los-casos-de-dr-pepe-caso-de-torax-12/#comment-1568417
71,simonsaysstampblog.com,https://www.simonsaysstampblog.com/blog/amore-laurafadora-3/comment-page-1/,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T21:03:06.290777,重定向到: https://www.simonsaysstampblog.com/blog/amore-laurafadora-3/comment-page-6/#comment-1060079
72,preview.amplethemes.com,https://preview.amplethemes.com/blog-vlog-pro/2018/12/14/lovely-cat/,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T21:03:13.908307,重定向到: https://preview.amplethemes.com/blog-vlog-pro/2018/12/14/lovely-cat/?unapproved=8947&moderation-hash=57704b3ef78c892648a34d46f999f20d#comment-8947
73,arlindovsky.net,https://www.arlindovsky.net/2022/06/calendarizacao-da-mobilidade-por-doenca,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T21:03:17.803193,重定向到: https://www.arlindovsky.net/2022/06/calendarizacao-da-mobilidade-por-doenca/#comment-672741
74,slice.uccs.edu,https://slice.uccs.edu/?p=804,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T21:03:25.645511,重定向到: https://slice.uccs.edu/?p=804#comment-168005
75,betterreading.com.au,https://www.betterreading.com.au/news/awards/breaking-news-announcing-the-2023-better-reading-top-100/,blog_comment,dofollow,auto_comment,pending_moderation,,2026-03-08T21:03:38.843576,重定向到: https://www.betterreading.com.au/news/awards/breaking-news-announcing-the-2023-better-reading-top-100/#comment-549530
76,bakerella.com,https://www.bakerella.com/16-sweet-easter-treats/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:43.186025,HTTP 500
77,ginjfo.com,https://www.ginjfo.com/actualites/logiciels/jeux-video-logiciels/les-sims-4-fetent-leur-25e-anniversaire-avec-du-nouveau-contenu-massif-20250227,blog_comment,nofollow,auto_comment,pending_moderation,,2026-03-08T21:03:46.709245,重定向到: https://www.ginjfo.com/actualites/logiciels/jeux-video-logiciels/les-sims-4-fetent-leur-25e-anniversaire-avec-du-nouveau-contenu-massif-20250227#comment-701404
78,premierchess.com,https://premierchess.com/chess-growth/maythebestplayerwin,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:53.809040,HTTP 403
79,dinnerwithjulie.com,https://www.dinnerwithjulie.com/recipes/butterscotch-pecan-mmmuffins/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:03:55.485751,找不到评论表单
80,rcinet.ca,https://www.rcinet.ca/rci70-en/2015/02/24/test1/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:00.334044,HTTP 500
81,blog.pianetamamma.it,https://blog.pianetamamma.it/amoredimamma/polpette-di-prosciutto-cotto-e-ricotta-al-forno/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:04.235255,HTTP 403
82,reneeroaming.com,https://www.reneeroaming.com/kimberley-australia-luxury-expedition-cruise-seabourn,blog_comment,nofollow,auto_comment,pending_moderation,,2026-03-08T21:04:06.904764,重定向到: https://www.reneeroaming.com/kimberley-australia-luxury-expedition-cruise-seabourn/#comment-143063
83,dinnerwithjulie.com,https://www.dinnerwithjulie.com/2021/11/03/plant-based-deep-n-delicious-chocolate-cake/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:08.374668,找不到评论表单
84,arlindovsky.net,https://www.arlindovsky.net/2024/05/e-depois-de-abril-paulo-prudencio,blog_comment,nofollow,auto_comment,pending_moderation,,2026-03-08T21:04:13.595332,重定向到: https://www.arlindovsky.net/2024/05/e-depois-de-abril-paulo-prudencio/#comment-672742
85,fitlivingeats.com,https://www.fitlivingeats.com/7-easy-everyday-gluten-free-swaps/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:16.338284,找不到评论表单
86,cinescopia.com,https://cinescopia.com/las-10-mejores-peliculas-de-casey-affleck/2024/08/,blog_comment,nofollow,auto_comment,pending_moderation,,2026-03-08T21:04:19.656813,重定向到: https://cinescopia.com/las-10-mejores-peliculas-de-casey-affleck/2024/08/#comment-1273149
87,yourcupofcake.com,https://www.yourcupofcake.com/candy-cane-muddy-buddies/,blog_comment,nofollow,auto_comment,pending_moderation,,2026-03-08T21:04:23.430730,重定向到: https://www.yourcupofcake.com/candy-cane-muddy-buddies/#comment-607834
88,bakerella.com,https://www.bakerella.com/yummy-mummy-snack-cakes/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:27.233871,HTTP 500
89,joaniesimon.com,https://joaniesimon.com/94f737822923f4567e1a7ce9681e5b9a-2/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:29.855021,找不到 comment_post_ID
90,yourcupofcake.com,https://www.yourcupofcake.com/pineapple-mango-bruschetta/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:33.196142,HTTP 429
91,fitlivingeats.com,https://www.fitlivingeats.com/how-to-make-homemade-oat-milk/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:35.728906,找不到评论表单
92,demilked.com,https://www.demilked.com/just-a-girl/,blog_comment,nofollow,auto_comment,failed,,2026-03-08T21:04:39.142386,HTTP 403
93,jilliancyork.com,https://jilliancyork.com/2010/02/20/on-memorability/,blog_comment,nofollow,auto_comment,pending_moderation,,2026-03-08T21:04:50.122616,重定向到: https://jilliancyork.com/2010/02/20/on-memorability/#comment-167155
94,stylelovely.com,https://stylelovely.com/diybalamoda/2016/01/diy-recicla-un-jersey,blog_comment,nofollow,auto_comment,pending_moderation,,2026-03-08T21:04:53.080042,重定向到: https://stylelovely.com/diybalamoda/2016/01/diy-recicla-un-jersey#comment-2369423
